0, SOAN101, SOAN102, CHIN101, LAS100, CHEM110, ENVR101
406, MUS103, CHEM110, PG101, SPAN201, COMM181, PG103
407, BUS101, CSCI161, SPAN201, MUS101, CHEM110, PG101
408, SOAN295, BIOL112, CHEM110, MATH160, LTS200, MATH181
409, JAPN101, CHIN201, ENGL199, CHEM110, REL202, PHIL101
410, CHEM110, MUS103, GEOL101, MUS101, HIST230, MATH180
411, ARTH276, PG104, GERM101, SPAN201, HIST102, IPE201
412, AFAM101, SOAN102, MATH181, MATH280, SPAN101, CWLT100
413, SOAN101, OT101, ECON170, CSCI161, MATH180, CHEM110
414, HIST291, PHIL215, THAI101, CLSC211, MATH160, SOAN101
415, PG101, STS201, CHEM110, ARAB101, SPAN201, MUS103
416, HIST153, IPE201, MUS101, PSYC101, SPAN101, PHIL101
417, FREN201, SOAN101, PG103, CHEM110, ECON170, PSYC101
418, MUS101, FREN210, MATH181, IPE201, HIST245, CHEM110
419, PG102, BUS101, IPE201, PHIL101, MUS101, MATH160
420, CHEM110, SPAN300, MUS105, ECON170, MATH160, COMM181
421, REL211, GQS291, CHEM110, PG103, PHYS121, REL202
422, SOAN101, MATH181, CHEM110, BIOL111, SPAN204, ECON170
423, GEOL101, MATH180, MUS101, PHIL101, PG103, ARTS101
424, CHEM110, SOAN101, JAPN301, FREN101, MUS101, SPAN203
425, ECON170, CWLT100, GERM101, CHEM110, SPAN201, SPAN101
426, SPAN101, ENGL212, CHIN101, CHEM115, PSYC101, HIST153
427, PG104, AFAM101, SPAN201, CLSC211, CHEM110, BIOL111
428, ENGL199, SPAN203, ALC225, SOAN101, COMM181, LTS200
429, SPAN101, GERM201, CSCI261, ENGL212, PHIL101, MATH180
430, SPAN300, AFAM101, FREN101, FREN201, SPAN101, SPAN201
431, FREN201, MATH160, ECON170, PG101, MUS103, BIOL111
432, IPE201, SPAN201, CLSC231, MATH160, JAPN101, CLSC211
433, HIST291, SOAN101, COMM170, MUS105, PSYC101, CHIN101
434, CSCI161, PHYS121, PHIL101, BIOL111, ECON170, CHEM110
435, PHYS111, MUS101, CHEM115, CHEM110, ECON170, MATH160
436, BIOL111, PHIL228, SPAN203, LTS200, PSYC101, PHIL281
437, ECON170, ENGL212, CHIN201, LAS100, MATH181, MUS105
438, MATH160, PHYS121, CHEM110, CLSC211, BIOL112, BIOL111
439, BIOL111, REL201, MATH280, CHEM110, BUS101, PHIL224
440, GERM101, PG102, PSYC101, BUS101, CHEM110, IPE201
441, CHIN101, BIOL111, ECON170, MATH180, PSYC101, CHEM110
442, CSCI161, MUS103, JAPN101, SPAN201, PG102, BIOL112
443, CHEM110, PG104, CLSC211, ECON170, MATH181, MATH180
444, SPAN101, COMM170, HIST102, CSCI161, PHIL101, MUS105
445, HIST291, ECON170, SPAN203, MUS105, CHEM110, THAI101
446, CHEM110, PG101, BIOL111, PG104, SOAN101, MATH180
447, FREN201, GERM101, SPAN201, MATH110, PG104, MATH181
448, CHEM110, HIST153, PHIL101, PG102, BIOL111, CHEM115
449, CHIN101, MUS103, ECON170, ARTS147, BIOL111, PHYS121
450, CLSC211, AFAM210, HIST102, SPAN101, AFAM101, HIST153
451, FREN101, CHIN101, ECON170, MATH160, MATH180, IPE201
452, MUS205, CHEM110, ECON170, REL211, MUS103, CHIN101
453, COMM181, SPAN300, CHEM110, SPAN101, GEOL101, PG102
454, PSYC101, CHEM110, AFAM101, PG103, SPAN300, SPAN101
455, MATH180, SPAN101, PG103, BUS101, PHIL281, PSYC101
456, SPAN201, CHEM110, MUS101, PHYS109, ENGL199, GERM101
457, MATH180, MATH160, PSYC101, CHEM115, ENGL212, PG101
458, ARAB101, PSYC265, PG103, ECON170, CHEM110, SPAN101
459, PSYC101, CHEM110, GQS201, ECON170, SOAN101, LAT101
460, OT101, JAPN101, PSYC101, FREN201, CHEM115, IPE201
461, MUS103, JAPN101, PG102, AFAM101, PG104, MATH160
462, COMM181, BUS101, SOAN101, ECON170, CLSC211, PG101
463, CLSC211, PG102, ECON170, MUS101, PG103, BUS101
464, FREN101, MATH180, ARAB101, STS201, ALC225, SOAN101
465, PG104, GQS201, BIOL111, GERM101, PG103, ARTH276
466, PHIL101, CHEM110, MATH160, JAPN201, ECON170, SPAN204
467, HIST102, CHEM110, PG101, CWLT100, COMM170, BIOL111
468, ENGL212, PHYS121, CHEM110, CSCI161, PG103, SPAN201
469, BIOL111, IPE201, LAS100, CHEM115, PHYS121, SPAN201
470, AFAM101, SPAN203, PHIL281, JAPN101, GQS291, SPAN101
471, PG102, HIST102, MATH280, JAPN101, PSYC101, PG104
472, ECON170, CHIN101, CHEM110, FREN101, GEOL101, BIOL111
473, IPE201, BIOL111, CHEM110, ECON170, ENGL212, MATH160
474, CSCI161, PSYC101, LTS200, ECON170, SOAN101, FREN101
475, PG103, MUS105, ENGL212, AFAM101, MUS101, PSYC101
476, LAS100, ECON170, CHEM110, SPAN201, PG101, MATH180
477, MATH160, SOAN101, CSCI161, FREN210, MATH180, REL204
478, COMM292, FREN101, HIST102, ECON170, COMM181, OT101
479, ENVR101, PSYC101, SOAN101, SPAN300, PG103, SPAN101
480, HIST230, CHEM110, PG104, SPAN201, ARTS101, BIOL112
481, SPAN101, MATH181, PG103, MATH180, PG102, GEOL101
482, ECON170, SOAN101, CLSC211, MATH180, CWLT100, GERM101
483, MATH160, CLSC211, CHEM115, CHEM110, PHYS121, ECON170
484, ARTH275, STS201, OT101, CHEM110, PG101, SPAN101
485, MATH180, HIST153, PHYS121, LAT101, MUS103, ECON170
486, PHYS121, PHIL215, ARTS101, SPAN101, BIOL111, MATH280
487, ARTH276, ECON170, CHEM110, PHYS121, FREN101, HIST230
488, BIOL111, MUS126, FREN210, ECON170, IPE201, HIST153
489, CHEM110, LAS100, COMM170, MATH160, MUS126, SPAN204
490, CLSC211, ECON170, MUS101, GERM101, CHEM110, CLSC231
491, ECON170, MUS103, MATH160, OT101, REL212, MATH180
492, MATH180, CHIN201, MATH160, ECON170, OT101, SOAN101
493, MATH160, SOAN101, CHEM110, LAS100, BIOL111, MATH110
494, ECON170, MATH280, SPAN300, LAS100, CHEM110, AFAM101
495, CHEM115, CHEM110, MATH180, PHIL224, SPAN101, MUS101
496, PHIL101, FREN101, GERM101, MATH180, LAT101, ECON170
497, CWLT100, JAPN101, PHIL101, HIST224, GERM101, JAPN201
498, CHEM110, CHEM115, ECON170, MUS101, JAPN101, SPAN101
499, MATH180, CHEM110, MUS126, CWLT100, BUS101, PG102
500, GQS291, MUS103, CHEM110, ARTS147, IPE201, JAPN101
501, SPAN101, BIOL111, CLSC211, MATH180, GEOL101, CSCI161
502, HIST153, CHEM110, PHIL228, REL204, BIOL111, PHYS111
503, SOAN101, BIOL111, CHEM110, SPAN203, SPAN201, SPAN101
504, CHEM110, MUS126, CHEM250, MATH181, CHIN101, PHYS121
505, ENGL212, GERM101, CHEM110, MATH160, HIST153, COMM181
506, PHIL101, SPAN101, GERM101, MATH181, ECON170, SOAN101
507, MATH180, SPAN101, CSCI161, PG103, BIOL112, PHYS109
508, MATH160, MUS105, MATH181, SOAN101, ENGL212, FREN101
509, ENGL199, MATH180, MUS101, CHEM110, BUS101, GERM201
510, PG104, SOAN101, MUS126, MATH160, PSYC101, ENGL212
511, MUS101, BIOL111, ECON170, CSCI161, LAT101, SPAN101
512, ECON170, CSCI161, SPAN204, PSYC101, HIST230, CHEM110
513, SPAN201, PG101, SPAN101, MATH180, PHYS121, HIST230
514, COMM292, MATH180, BIOL112, ENGL212, ARTS101, ECON170
515, SOAN101, MATH181, GEOL101, MATH160, GERM101, CWLT100
516, PG104, REL212, BIOL111, SPAN101, BIOL112, GQS201
517, SPAN101, MATH181, MATH160, IPE191, CHEM110, IPE201
518, HIST291, HIST245, MATH180, BIOL111, ARTS147, MATH160
519, GEOL101, REL204, CHEM110, ARAB101, PHYS121, PSYC101
520, FREN201, CHEM110, COMM181, CHIN101, MATH160, GEOL101
521, BIOL111, SPAN201, PG103, FREN101, PSYC101, MATH180
522, HIST153, ECON170, SPAN101, CHEM110, MUS101, SPAN204
523, ECON170, SPAN101, CHEM110, MUS105, BUS101, MUS101
524, MATH160, HIST102, BUS101, CHEM110, MATH181, MATH180
525, LTS200, MATH180, LAT101, ECON170, SPAN201, CHEM110
526, MUS103, PG103, MATH180, PHIL101, PHYS121, JAPN101
527, ARTS147, CHEM115, PG101, SPAN101, HIST153, MUS105
528, GERM101, GEOL101, MATH180, PG102, CHEM115, ENGL199
529, MUS126, JAPN101, MUS101, PSYC101, GEOL101, SPAN201
530, IPE201, AFAM101, SPAN201, CHEM110, PHIL281, PSYC101
531, MUS103, ECON170, SOAN101, REL234, PG104, LAS100
532, FREN240, MUS105, IPE191, IPE201, PHIL215, SPAN201
533, AFAM101, ECON170, ARTH276, PHIL101, HIST153, GERM101
534, SPAN300, PG101, PHIL215, PG103, SPAN101, PHIL101
535, ECON170, GERM101, PSYC101, MATH160, SPAN101, IPE201
536, OT101, COMM181, PG101, CWLT100, ARTS101, JAPN201
537, SPAN201, MATH280, CHEM110, MATH180, OT101, PSYC101
538, LAS100, MATH280, CHEM110, ENGL212, PG103, SPAN101
539, AFAM101, ARTH276, ECON170, PG104, MATH280, CHEM110
540, AFAM101, MATH160, SPAN203, IPE191, BIOL112, MUS103
541, MATH160, FREN201, CHEM115, HIST153, REL201, GERM101
542, ENGL212, PG103, CHEM110, SOAN101, JAPN101, BUS101
543, ARTS101, SPAN203, PHIL224, THAI101, PSYC101, COMM181
544, IPE201, COMM170, REL204, MUS103, PHIL101, FREN201
545, MATH180, THAI101, JAPN101, COMM292, ENGL212, COMM170
546, FREN210, MATH160, HIST291, GEOL101, FREN101, COMM181
547, BUS101, MATH160, ENGL245, PHYS121, FREN101, GERM201
548, GEOL101, OT101, CHIN101, CHEM110, SPAN101, PHYS205
549, HIST230, LAS100, CHEM110, MATH160, COMM292, CSCI161
550, CHIN201, CHEM110, CHIN101, PG104, SPAN204, MATH180
551, MATH160, SPAN201, PG103, PHIL101, MATH180, SPAN101
552, CHEM110, PG103, BIOL111, CWLT100, SPAN101, ECON170
553, CHEM110, FREN101, MATH260, PHYS205, SPAN201, SOAN101
554, ECON170, CLSC211, BIOL111, ARTS102, CHEM110, FREN201
555, CHEM250, HIST291, MATH160, CHEM110, MATH180, PHIL281
556, MUS105, SPAN101, IPE201, JAPN301, PG103, SPAN204
557, BIOL111, BIOL112, SPAN101, REL201, PG104, SOAN101
558, IPE201, ARAB101, CSCI161, SPAN201, PHIL281, ENGL212
559, LAT201, MATH160, CHEM115, PG103, COMM170, PSYC101
560, PHIL215, JAPN101, HIST230, PSYC101, SPAN101, FREN101
561, CLSC211, SPAN300, MATH160, PHIL101, GRK101, BIOL111
562, COMM170, CHIN101, GEOL101, ARTS101, SOAN102, CHEM110
563, FREN101, FREN201, SPAN101, MATH180, PG101, GERM101
564, COMM181, CHEM110, SPAN101, SOAN101, PG104, JAPN101
565, LTS200, PHYS121, SOAN101, SOAN295, SPAN210, HIST291
566, MUS103, SPAN201, IPE201, MATH180, BIOL111, ENVR101
567, ARTH276, CWLT100, PSYC101, ENVR101, CHEM110, SPAN201
568, MATH160, SPAN101, PHIL281, CHEM110, ENGL245, CHEM115
569, CWLT100, PHYS121, MATH180, ECON170, ARAB101, COMM181
570, SPAN201, BUS101, MATH180, CLSC211, SPAN101, ARTS147
571, JAPN201, ENGL212, SPAN204, PHIL224, IPE191, SPAN201
572, SOAN101, MATH160, ECON170, MUS101, PSYC101, MUS103
573, CHEM110, CSCI161, SPAN101, MATH180, FREN201, PSYC101
574, MATH180, SPAN203, REL204, HIST291, IPE201, LAT101
575, SPAN101, SPAN210, IPE201, REL204, MATH181, CSCI161
576, PG103, SPAN101, PHIL101, CHEM110, PG104, ECON170
577, MATH280, ECON170, MATH181, ENGL212, PG101, CSCI161
578, FREN240, BIOL112, MATH160, MATH181, ARTS147, IPE201
579, FREN101, REL201, PG103, FREN201, SPAN201, REL211
580, LAT101, SPAN203, CLSC211, CHIN101, FREN201, PG103
581, IPE201, CLSC231, MATH180, BIOL112, PSYC101, GEOL101
582, HIST224, PHIL228, FREN201, CSCI161, PG101, ENVR101
583, CHEM110, SPAN101, GEOL101, FREN101, OT101, SPAN201
584, MATH180, STS201, CHIN101, SPAN101, ECON170, CHEM115
585, CHEM110, PHIL224, MATH160, SPAN201, GEOL101, FREN201
586, CHEM110, GEOL101, REL204, ARTS101, AFAM101, PSYC101
587, MATH180, SOAN101, JAPN101, BIOL111, BUS101, CHEM110
588, MATH180, PHYS121, AFAM101, MUS103, CHEM110, SPAN201
589, LAT101, MATH280, CLSC211, SPAN201, REL211, MUS101
590, ENGL212, PHYS121, MATH160, SPAN101, GQS201, PG104
591, PG101, CHEM110, MATH180, ECON170, ARTH276, PHIL281
592, ECON170, PG104, REL204, PHIL101, SOAN101, CHEM110
593, CHEM110, AFAM101, ECON170, COMM170, MATH180, ARTS101
594, MUS101, MATH181, ECON170, ARTS101, PG101, PG103
595, SPAN203, FREN101, JAPN201, CHIN101, ECON170, PG103
596, SPAN203, ENGL245, CHEM115, MATH180, GQS201, CHEM110
597, MUS101, ECON170, CHEM110, SPAN101, PG103, BIOL112
598, CHEM115, HIST102, PSYC101, IPE201, MATH280, HIST153
599, CHEM110, SPAN300, SOAN101, OT101, MATH260, MATH180
600, ECON170, MATH180, ARTS101, CHEM115, PHYS221, AFAM101
601, BIOL111, MUS101, BUS101, ECON170, IPE201, CSCI161
602, PHYS109, ECON170, SPAN101, SPAN201, CHEM110, PSYC101
603, SPAN101, MATH160, SPAN201, CWLT100, BIOL111, CHEM110
604, IPE201, ECON170, CHIN201, MATH181, GERM101, MUS103
605, ENGL199, FREN210, MATH160, MATH181, MUS101, CHEM110
606, JAPN301, PHYS121, LAS100, ENGL212, SOAN101, COMM170
607, COMM181, CSCI161, SPAN201, PHIL101, ENVR101, CHEM110
608, FREN240, HIST102, PSYC101, LAS100, PG102, MATH280
609, GERM101, MUS101, ECON170, MUS126, SOAN101, CHEM115
610, MATH280, ENGL245, SPAN201, MUS103, SPAN300, BUS101
611, MATH180, SPAN201, PG104, PG101, PSYC101, FREN101
612, CHIN201, PG103, THAI101, MATH280, HIST230, IPE191
613, ECON170, PSYC101, OT101, SOAN101, LAT201, REL201
614, SPAN101, MATH160, PHIL228, PSYC101, PG102, LAS100
615, ARTS147, MUS101, CWLT100, CHEM110, AFAM101, MATH160
616, PG101, SPAN201, MUS103, PSYC101, SOAN101, BUS101
617, MATH181, SPAN201, ECON170, AFAM210, SPAN210, HIST153
618, PHIL101, HIST230, MATH160, PHIL229, PHYS109, SPAN201
619, SPAN101, MATH160, ECON170, MUS103, OT101, LAT101
620, SPAN101, MATH160, PG103, SPAN210, MUS126, FREN240
621, SPAN101, MATH180, FREN101, AFAM101, IPE201, PSYC101
622, SPAN101, LAT101, MATH280, ENVR101, AFAM101, SOAN101
623, HIST153, HIST230, HIST102, SOAN101, MATH260, SPAN101
624, IPE201, MATH181, HIST230, GEOL101, LAT101, CSCI161
625, LTS200, MATH290, SPAN101, CHEM110, HIST153, ECON170
626, LTS200, CHEM110, PG103, IPE201, MATH160, GERM101
627, MATH180, SPAN101, AFAM210, MATH160, CHEM110, FREN101
628, COMM181, MUS105, FREN201, CHEM110, ENGL234, BIOL111
629, MUS105, ENGL212, SPAN300, ECON170, MATH180, PG102
630, PHIL229, PG101, ECON170, PSYC101, MATH160, LTS200
631, FREN201, CSCI161, GEOL101, MATH181, BUS101, MATH180
632, MATH160, CSCI161, SPAN203, CWLT100, BUS101, ENGL199
633, OT101, MUS126, MUS235, IPE201, PHYS121, SOAN101
634, ARTS147, ENGL212, PG104, MATH180, REL212, THTR217
635, CSCI161, LTS200, SOAN101, GQS201, ENGL199, FREN210
636, CHEM110, MATH180, MATH160, ECON170, CHEM115, MUS101
637, BUS101, MATH181, ECON170, PG104, SPAN101, MATH160
638, LTS200, REL211, PHIL101, CHEM110, ARTS102, IPE201
639, SOAN101, GEOL101, FREN201, STS201, IPE201, ARTS147
640, COMM181, CSCI161, THTR217, ENGL212, BIOL111, ECON170
641, CHEM110, MATH260, FREN101, REL201, MATH180, HIST230
642, HIST291, MATH160, CWLT100, PHYS121, AFAM101, PG103
643, ECON170, GEOL101, MATH160, PSYC101, IPE191, PG103
644, HIST102, FREN101, GEOL101, CHEM115, BIOL111, MATH160
645, SPAN101, IPE201, HIST230, CHEM110, MATH160, BUS101
646, MATH160, COMM170, PSYC101, CHEM115, ENGL199, PHIL101
647, CHEM110, MATH110, CWLT100, PSYC101, HIST224, ARTS101
648, ENGL212, MATH160, PSYC101, LTS200, MUS205, ECON170
649, BIOL111, OT101, CSCI161, CWLT100, MUS105, SOAN101
650, AFAM210, PSYC101, MATH160, JAPN101, GQS201, FREN101
651, CHEM115, ENGL235, MATH160, JAPN201, PHYS109, ENGL220
