CSID,Question,Text,Rank
6733397,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,2
6733397,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,3
6733397,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,4
6733397,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,5
6733397,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,6
6733433,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,1
6733433,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,2
6733433,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,3
6733433,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,4
6733433,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,5
6733433,Seminar in Scholarly Inquiry 1,SSI-1 138: Theatre and Comedy: Drama History and Theory from Aristophanes to the Absurd",6
6733672,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,1
6733672,Seminar in Scholarly Inquiry 1,SSI-1 144: Constitutional Controversies,2
6733672,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
6733672,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,4
6733672,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,5
6733672,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,6
6733732,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,1
6733732,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,2
6733732,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,3
6733732,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,4
6733732,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,5
6733732,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,6
6733762,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,1
6733762,Seminar in Scholarly Inquiry 1,SSI-1 181: Science and Theater,2
6733762,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,3
6733762,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,4
6733762,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,5
6733762,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,6
6733784,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,1
6733784,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,2
6733784,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,3
6733784,Seminar in Scholarly Inquiry 1,SSI-1 181: Science and Theater,4
6733784,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,5
6733784,Seminar in Scholarly Inquiry 1,SSI-1 176: American Autobiography from Franklin to Facebook,6
6733837,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",1
6733837,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,2
6733837,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,3
6733837,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,4
6733837,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,5
6733837,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,6
6733881,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,1
6733881,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,2
6733881,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,3
6733881,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,4
6733881,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,5
6733881,Seminar in Scholarly Inquiry 1,SSI-1 129: Mao's China -- A Country in Revolution,6
6733892,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,1
6733892,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,2
6733892,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,3
6733892,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,4
6733892,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,5
6733892,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,6
6733924,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,1
6733924,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,2
6733924,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",3
6733924,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,4
6733924,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,5
6733924,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,6
6734016,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,1
6734016,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,2
6734016,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,3
6734016,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,4
6734016,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,5
6734016,Seminar in Scholarly Inquiry 1,SSI-1 176: American Autobiography from Franklin to Facebook,6
6734036,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,1
6734036,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,2
6734036,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,3
6734036,Seminar in Scholarly Inquiry 1,SSI-1 172: The Scientific and Romantic Revolutions (RS),4
6734036,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",5
6734036,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,6
6734054,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",1
6734054,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,2
6734054,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,3
6734054,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,4
6734054,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,5
6734054,Seminar in Scholarly Inquiry 1,SSI-1 181: Science and Theater,6
6734092,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,1
6734092,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,2
6734092,Seminar in Scholarly Inquiry 1,SSI-1 190: Translation on Stage - Language Culture and Genre",3
6734092,Seminar in Scholarly Inquiry 1,SSI-1 172: The Scientific and Romantic Revolutions (RS),4
6734092,Seminar in Scholarly Inquiry 1,SSI-1 195: Honors - New World Rhetorics,5
6734092,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,6
6734230,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,1
6734230,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,2
6734230,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
6734230,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,4
6734230,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,5
6734230,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,6
6734236,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,1
6734236,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,2
6734236,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,3
6734236,Seminar in Scholarly Inquiry 1,SSI-1 135: Hurricane Katrina and the History of New Orleans,4
6734236,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,5
6734236,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,6
6734277,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",1
6734277,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,2
6734277,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,3
6734277,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,4
6734277,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,5
6734277,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,6
6734296,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,1
6734296,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,2
6734296,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",3
6734296,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,4
6734296,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,5
6734296,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,6
6734313,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,1
6734313,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,2
6734313,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,3
6734313,Seminar in Scholarly Inquiry 1,SSI-1 172: The Scientific and Romantic Revolutions (RS),4
6734313,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,5
6734313,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,6
6734336,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,1
6734336,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,2
6734336,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,3
6734336,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,4
6734336,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,5
6734336,Seminar in Scholarly Inquiry 1,SSI-1 195: Honors - New World Rhetorics,6
6734388,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,1
6734388,Seminar in Scholarly Inquiry 1,SSI-1 144: Constitutional Controversies,2
6734388,Seminar in Scholarly Inquiry 1,SSI-1 172: The Scientific and Romantic Revolutions (RS),3
6734388,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,4
6734388,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,5
6734388,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,6
6734645,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,1
6734645,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,2
6734645,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,3
6734645,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,4
6734645,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,5
6734645,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,6
6734672,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,1
6734672,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,2
6734672,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
6734672,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,4
6734672,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,5
6734672,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,6
6734673,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,1
6734673,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,2
6734673,Seminar in Scholarly Inquiry 1,SSI-1 129: Mao's China -- A Country in Revolution,3
6734673,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",4
6734673,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,5
6734673,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,6
6734693,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,1
6734693,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,2
6734693,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,3
6734693,Seminar in Scholarly Inquiry 1,SSI-1 144: Constitutional Controversies,4
6734693,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",5
6734693,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,6
6734834,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,1
6734834,Seminar in Scholarly Inquiry 1,SSI-1 129: Mao's China -- A Country in Revolution,2
6734834,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",3
6734834,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,4
6734834,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,5
6734834,Seminar in Scholarly Inquiry 1,SSI-1 144: Constitutional Controversies,6
6734878,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,1
6734878,Seminar in Scholarly Inquiry 1,SSI-1 135: Hurricane Katrina and the History of New Orleans,2
6734878,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,3
6734878,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,4
6734878,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",5
6734878,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,6
6735142,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,1
6735142,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",2
6735142,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,3
6735142,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,4
6735142,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,5
6735142,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,6
6735214,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,1
6735214,Seminar in Scholarly Inquiry 1,SSI-1 190: Translation on Stage - Language Culture and Genre",2
6735214,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,3
6735214,Seminar in Scholarly Inquiry 1,SSI-1 176: American Autobiography from Franklin to Facebook,4
6735214,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,5
6735214,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,6
6735222,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,1
6735222,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,2
6735222,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",3
6735222,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,4
6735222,Seminar in Scholarly Inquiry 1,SSI-1 135: Hurricane Katrina and the History of New Orleans,5
6735222,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",6
6735509,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,1
6735509,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,2
6735509,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
6735509,Seminar in Scholarly Inquiry 1,SSI-1 144: Constitutional Controversies,4
6735509,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,5
6735509,Seminar in Scholarly Inquiry 1,SSI-1 172: The Scientific and Romantic Revolutions (RS),6
6735516,Seminar in Scholarly Inquiry 1,SSI-1 195: Honors - New World Rhetorics,1
6735516,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",2
6735516,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,3
6735516,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,4
6735516,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,5
6735516,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,6
6735718,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,1
6735718,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,2
6735718,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,3
6735718,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",4
6735718,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,5
6735718,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,6
6735725,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,1
6735725,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",2
6735725,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,3
6735725,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,4
6735725,Seminar in Scholarly Inquiry 1,SSI-1 172: The Scientific and Romantic Revolutions (RS),5
6735725,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,6
6735756,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,1
6735756,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,2
6735756,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,3
6735756,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,4
6735756,Seminar in Scholarly Inquiry 1,SSI-1 181: Science and Theater,5
6735756,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,6
6735766,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,1
6735766,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",2
6735766,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,3
6735766,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,4
6735766,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,5
6735766,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,6
6736077,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",1
6736077,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,2
6736077,Seminar in Scholarly Inquiry 1,SSI-1 195: Honors - New World Rhetorics,3
6736077,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,4
6736077,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,5
6736077,Seminar in Scholarly Inquiry 1,SSI-1 129: Mao's China -- A Country in Revolution,6
6736170,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,1
6736170,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,2
6736170,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,3
6736170,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,4
6736170,Seminar in Scholarly Inquiry 1,SSI-1 181: Science and Theater,5
6736170,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,6
6736188,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",1
6736188,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,2
6736188,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,3
6736188,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,4
6736188,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,5
6736188,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,6
6736201,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,1
6736201,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,2
6736201,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,3
6736201,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,4
6736201,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",5
6736201,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,6
6736220,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,1
6736220,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",2
6736220,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
6736220,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,4
6736220,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,5
6736220,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,6
6736377,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,1
6736377,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,2
6736377,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,3
6736377,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,4
6736377,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,5
6736377,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,6
6736428,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,1
6736428,Seminar in Scholarly Inquiry 1,SSI-1 176: American Autobiography from Franklin to Facebook,2
6736428,Seminar in Scholarly Inquiry 1,SSI-1 129: Mao's China -- A Country in Revolution,3
6736428,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,4
6736428,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,5
6736428,Seminar in Scholarly Inquiry 1,SSI-1 144: Constitutional Controversies,6
6736434,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,1
6736434,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,2
6736434,Seminar in Scholarly Inquiry 1,SSI-1 144: Constitutional Controversies,3
6736434,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,4
6736434,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,5
6736434,Seminar in Scholarly Inquiry 1,SSI-1 190: Translation on Stage - Language Culture and Genre",6
6736450,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,1
6736450,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,2
6736450,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
6736450,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,4
6736450,Seminar in Scholarly Inquiry 1,SSI-1 190: Translation on Stage - Language Culture and Genre",5
6736450,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,6
6736478,Seminar in Scholarly Inquiry 1,SSI-1 181: Science and Theater,1
6736478,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,2
6736478,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,3
6736478,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,4
6736478,Seminar in Scholarly Inquiry 1,SSI-1 190: Translation on Stage - Language Culture and Genre",5
6736478,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,6
6736770,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,1
6736770,Seminar in Scholarly Inquiry 1,SSI-1 176: American Autobiography from Franklin to Facebook,2
6736770,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,3
6736770,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,4
6736770,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,5
6736770,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,6
6737246,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,1
6737246,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",2
6737246,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,3
6737246,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,4
6737246,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,5
6737246,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,6
6737269,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,1
6737269,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,2
6737269,Seminar in Scholarly Inquiry 1,SSI-1 176: American Autobiography from Franklin to Facebook,3
6737269,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,4
6737269,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,5
6737269,Seminar in Scholarly Inquiry 1,SSI-1 172: The Scientific and Romantic Revolutions (RS),6
6737325,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",1
6737325,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,2
6737325,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
6737325,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,4
6737325,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,5
