Class Nbr,Dept,Crs,Sc,Title,Limit,Enrld,W/L,CO,Type,Units,Days,Times,Facil ID,Component,Term,Session,Advising
8648,GERM, 101,C,Elementary German,24,20,0,FL,E,1.00,__T____,12.30- 13.20,JO-208,LEC,2015 Fall,FUL,
8239,GERM, 201,A,Intermediate German,20,14,0,FL,E,1.00,_M_W_F_,13.00- 13.50,WY-203,LEC,2015 Fall,FUL,
8721,GERM, 201,B,Intermediate German,20,11,0,FL,E,1.00,_M_W_F_,14.00- 14.50,WY-301,LEC,2015 Fall,FUL,
10905,GERM, 303,A,German Mentalities,19,13,0,FL,E,1.00,__T_T__,14.00- 15.20,WY-203,LEC,2015 Fall,FUL,
8300,GQS, 201,A,Intro to Gender Queer Feminist,24,26,0,HM,E,1.00,__T_T__,14.00- 15.20,HO-203,LEC,2015 Fall,FUL,Y
8300,GQS, 201,A,Intro to Gender Queer Feminist,24,26,0,KN,E,1.00,__T_T__,14.00- 15.20,HO-203,LEC,2015 Fall,FUL,Y
11134,GQS, 201,B,Intro to Gender Queer Feminist,28,27,0,HM,E,1.00,_M_W_F_,09.00- 09.50,MC-309,LEC,2015 Fall,FUL,
11134,GQS, 201,B,Intro to Gender Queer Feminist,28,27,0,KN,E,1.00,_M_W_F_,09.00- 09.50,MC-309,LEC,2015 Fall,FUL,
8537,GQS, 291,A,Gender Studies Publication,30,19,0,,E,0.25,_____F_,15.30- 17.20,WY-203,LEC,2015 Fall,FUL,
8026,GRK, 101,A,Intro to Ancient Greek I,20,6,0,FL,E,1.00,_MTW_F_,14.00- 14.50,TH-197,LEC,2015 Fall,FUL,
8027,GRK, 201,A,Intermediate Greek,20,3,0,FL,E,1.00,_M_W_F_,14.00- 14.50,WY-305,LEC,2015 Fall,FUL,
8028,GRK, 301,A,Advanced Greek Reading,20,1,0,FL,E,1.00,_M_W_F_,11.00- 11.50,,LEC,2015 Fall,FUL,
11073,HIST, 102,A,Western Civilization 1650-1990,28,26,0,HM,E,1.00,_M_W_F_,09.00- 09.50,WY-307,LEC,2015 Fall,FUL,
11165,HIST, 153,A,American Experiences II,28,26,0,HM,E,1.00,__T_T__,11.00- 12.20,MC-107,LEC,2015 Fall,FUL,
8262,HIST, 200,A,Doing History,19,13,0,,E,1.00,_M_W_F_,11.00- 11.50,WY-206,LEC,2015 Fall,FUL,
8710,HIST, 224,A,Russia Since 1861,28,14,0,HM,E,1.00,_M_W_F_,11.00- 11.50,WY-313,LEC,2015 Fall,FUL,
10916,HIST, 230,A,English Society & Politics,28,25,0,HM,E,1.00,__T_T__,09.30- 10.50,WY-109,LEC,2015 Fall,FUL,Y
10917,HIST, 245,A,Chinese Civilization,28,24,0,HM,E,1.00,_M_W_F_,12.00- 12.50,WY-313,LEC,2015 Fall,FUL,
11091,HIST, 291,A,Modern Africa,12,12,0,HM,E,1.00,_M_W_F_,09.00- 09.50,WY-313,LEC,2015 Fall,FUL,
11145,HIST, 291,B,Modern Africa,12,10,0,HM,E,1.00,_M_W_F_,13.00- 13.50,TH-193,LEC,2015 Fall,FUL,
8258,HON, 212,A,Origins of the Modern World,28,17,0,NS,E,1.00,_M_W_F_,12.00- 12.50,TH-153,LEC,2015 Fall,FUL,Y
8259,HON, 212,AA,Origins of the Modern World,14,5,0,NS,N,0.00,_M_____,13.00- 15.30,TH-153,LAB,2015 Fall,FUL,Y?
8260,HON, 212,AB,Origins of the Modern World,14,12,0,NS,N,0.00,_M_____,15.30- 18.00,TH-153,LAB,2015 Fall,FUL,Y?
8261,HON, 214,A,Interrogating Inequality,28,21,0,SL,E,1.00,__T_T__,14.00- 15.20,WY-201,LEC,2015 Fall,FUL,
8500,HUM, 290,A,Intro to Cinema Studies,22,22,2,AR,E,1.00,__T_T__,15.30- 16.50,WY-109,LEC,2015 Fall,FUL,
8500,HUM, 290,A,Intro to Cinema Studies,22,22,2,AR,E,1.00,__T____,17.30- 19.30,MC-103,LEC,2015 Fall,FUL,
11178,IPE, 191,A,Model United Nations,25,17,0,,E,0.25,____T__,19.00- 20.30,MC-103,LEC,2015 Fall,FUL,
8306,IPE, 201,A,International Political Econ,28,29,0,KN,E,1.00,_M_W_F_,09.00- 09.50,MC-202,LEC,2015 Fall,FUL,
8306,IPE, 201,A,International Political Econ,28,29,0,SL,E,1.00,_M_W_F_,09.00- 09.50,MC-202,LEC,2015 Fall,FUL,
8307,IPE, 201,B,International Political Econ,28,24,0,KN,E,1.00,_M_W_F_,10.00- 10.50,MC-309,LEC,2015 Fall,FUL,
8307,IPE, 201,B,International Political Econ,28,24,0,SL,E,1.00,_M_W_F_,10.00- 10.50,MC-309,LEC,2015 Fall,FUL,
8308,IPE, 201,C,International Political Econ,28,28,0,KN,E,1.00,_M_W_F_,14.00- 14.50,MC-202,LEC,2015 Fall,FUL,
8308,IPE, 201,C,International Political Econ,28,28,0,SL,E,1.00,_M_W_F_,14.00- 14.50,MC-202,LEC,2015 Fall,FUL,
8020,JAPN, 101,A,First Year Japanese,22,19,0,FL,E,1.00,_MTWT__,10.00- 10.50,CO-271,LEC,2015 Fall,FUL,Y
8021,JAPN, 101,B,First Year Japanese,22,22,0,FL,E,1.00,_MTW_F_,13.00- 13.50,MC-212,LEC,2015 Fall,FUL,
8022,JAPN, 201,A,Second Year Japanese,22,10,0,FL,E,1.00,__T____,11.00- 11.50,CO-271,LEC,2015 Fall,FUL,
8022,JAPN, 201,A,Second Year Japanese,22,10,0,FL,E,1.00,_M_W_F_,11.00- 11.50,WY-306,LEC,2015 Fall,FUL,
8023,JAPN, 301,A,Third Year Japanese,20,20,0,,E,1.00,_M_W_F_,11.00- 11.50,CO-271,LEC,2015 Fall,FUL,
8680,LAS, 100,A,Intro Latin American Studies,28,24,0,HM,E,1.00,__T_T__,11.00- 12.20,WY-313,LEC,2015 Fall,FUL,
8029,LAT, 101,A,Elementary Latin I,20,19,0,FL,E,1.00,_MTW_F_,10.00- 10.50,WY-308,LEC,2015 Fall,FUL,
8030,LAT, 101,B,Elementary Latin I,20,11,0,FL,E,1.00,_M_W_F_,11.00- 11.50,WY-308,LEC,2015 Fall,FUL,
8030,LAT, 101,B,Elementary Latin I,20,11,0,FL,E,1.00,__T____,11.00- 11.50,WY-206,LEC,2015 Fall,FUL,
8031,LAT, 201,A,Intermediate Latin,20,9,0,FL,E,1.00,_M_W_F_,10.00- 10.50,WY-206,LEC,2015 Fall,FUL,
8032,LAT, 301,A,Advanced Latin Reading,20,1,0,,E,1.00,_M_W_F_,09.00- 09.50,WY-305,LEC,2015 Fall,FUL,
8629,LTS, 200,A,Latina/o America,20,2,0,HM,E,1.00,__T_T__,12.30- 13.50,WY-208,LEC,2015 Fall,FUL,
8629,LTS, 200,A,Latina/o America,20,2,0,KN,E,1.00,__T_T__,12.30- 13.50,WY-208,LEC,2015 Fall,FUL,
10943,LTS, 200,B,Latina/o America,20,13,0,HM,E,1.00,__T_T__,14.00- 15.20,WY-208,LEC,2015 Fall,FUL,Y
10943,LTS, 200,B,Latina/o America,20,13,0,KN,E,1.00,__T_T__,14.00- 15.20,WY-208,LEC,2015 Fall,FUL,Y
8264,MATH, 110,A,Pre-Calculus,24,12,0,,E,1.00,_MT_TF_,08.00- 08.50,TH-399,LEC,2015 Fall,FUL,
10594,MATH, 160,A,Intro to Applied Statistics,24,24,0,MA,E,1.00,_M__TF_,08.00- 08.50,TH-381,LEC,2015 Fall,FUL,
10594,MATH, 160,A,Intro to Applied Statistics,24,24,0,MA,E,1.00,__T____,08.00- 09.20,TH-381,LEC,2015 Fall,FUL,
10595,MATH, 160,B,Intro to Applied Statistics,24,23,0,MA,E,1.00,_M___F_,09.00- 09.50,TH-399,LEC,2015 Fall,FUL,
10595,MATH, 160,B,Intro to Applied Statistics,24,23,0,MA,E,1.00,____T__,09.30- 10.20,TH-399,LEC,2015 Fall,FUL,
10595,MATH, 160,B,Intro to Applied Statistics,24,23,0,MA,E,1.00,__T____,09.30- 10.50,TH-399,LEC,2015 Fall,FUL,
10596,MATH, 160,C,Intro to Applied Statistics,24,23,0,MA,E,1.00,_M___F_,10.00- 10.50,TH-381,LEC,2015 Fall,FUL,
10596,MATH, 160,C,Intro to Applied Statistics,24,23,0,MA,E,1.00,__T_T__,09.30- 10.20,TH-381,LEC,2015 Fall,FUL,
10597,MATH, 160,D,Intro to Applied Statistics,24,24,0,MA,E,1.00,_M___F_,11.00- 11.50,TH-381,LEC,2015 Fall,FUL,
10597,MATH, 160,D,Intro to Applied Statistics,24,24,0,MA,E,1.00,__T_T__,11.00- 12.20,TH-399,LEC,2015 Fall,FUL,
10598,MATH, 160,E,Intro to Applied Statistics,24,24,0,MA,E,1.00,_M___F_,12.00- 12.50,TH-381,LEC,2015 Fall,FUL,
10598,MATH, 160,E,Intro to Applied Statistics,24,24,0,MA,E,1.00,____T__,12.30- 13.20,TH-399,LEC,2015 Fall,FUL,
10598,MATH, 160,E,Intro to Applied Statistics,24,24,0,MA,E,1.00,__T____,12.30- 13.50,TH-399,LEC,2015 Fall,FUL,
10599,MATH, 160,F,Intro to Applied Statistics,24,21,0,MA,E,1.00,_MT_TF_,13.00- 13.50,TH-381,LEC,2015 Fall,FUL,
10600,MATH, 160,G,Intro to Applied Statistics,24,24,0,MA,E,1.00,_MT_TF_,13.00- 13.50,TH-395,LEC,2015 Fall,FUL,
10601,MATH, 160,H,Intro to Applied Statistics,24,27,0,MA,E,1.00,_MT_TF_,14.00- 14.50,TH-383,LEC,2015 Fall,FUL,Y
10602,MATH, 160,I,Intro to Applied Statistics,24,24,0,MA,E,1.00,_M___F_,15.00- 15.50,TH-381,LEC,2015 Fall,FUL,
10602,MATH, 160,I,Intro to Applied Statistics,24,24,0,MA,E,1.00,__T_T__,16.00- 16.50,TH-381,LEC,2015 Fall,FUL,
11191,MATH, 160,J,Intro to Applied Statistics,24,20,0,MA,E,1.00,_M___F_,13.00- 13.50,TH-383,LEC,2015 Fall,FUL,
11191,MATH, 160,J,Intro to Applied Statistics,24,20,0,MA,E,1.00,__T_T__,12.30- 13.20,TH-383,LEC,2015 Fall,FUL,
8265,MATH, 180,A,Calculus & Analytic Geometry I,24,22,0,MA,E,1.00,_MT_TF_,08.00- 08.50,TH-197,LEC,2015 Fall,FUL,
8266,MATH, 180,B,Calculus & Analytic Geometry I,24,25,0,MA,E,1.00,_M___F_,09.00- 09.50,TH-381,LEC,2015 Fall,FUL,
8266,MATH, 180,B,Calculus & Analytic Geometry I,24,25,0,MA,E,1.00,__T_T__,09.30- 10.20,TH-283,LEC,2015 Fall,FUL,
8267,MATH, 180,C,Calculus & Analytic Geometry I,20,20,0,MA,E,1.00,_M_W_F_,10.00- 10.50,TH-197,LEC,2015 Fall,FUL,Y
8267,MATH, 180,C,Calculus & Analytic Geometry I,20,20,0,MA,E,1.00,__T____,09.30- 10.50,TH-197,LEC,2015 Fall,FUL,Y
8268,MATH, 180,D,Calculus & Analytic Geometry I,24,25,0,MA,E,1.00,_M_W_F_,11.00- 11.50,TH-197,LEC,2015 Fall,FUL,
8268,MATH, 180,D,Calculus & Analytic Geometry I,24,25,0,MA,E,1.00,__T____,11.00- 12.20,TH-197,LEC,2015 Fall,FUL,
8269,MATH, 180,E,Calculus & Analytic Geometry I,24,12,0,MA,E,1.00,_M___F_,12.00- 12.50,TH-383,LEC,2015 Fall,FUL,
8269,MATH, 180,E,Calculus & Analytic Geometry I,24,12,0,MA,E,1.00,__T_T__,13.00- 13.50,TH-283,LEC,2015 Fall,FUL,
8270,MATH, 180,F,Calculus & Analytic Geometry I,24,20,0,MA,E,1.00,_M___F_,13.00- 13.50,TH-197,LEC,2015 Fall,FUL,
8270,MATH, 180,F,Calculus & Analytic Geometry I,24,20,0,MA,E,1.00,__T_T__,12.30- 13.20,TH-197,LEC,2015 Fall,FUL,
10603,MATH, 181,A,Calculus/Analytic Geometry II,24,12,0,MA,E,1.00,_M___F_,09.00- 09.50,TH-191,LEC,2015 Fall,FUL,
10603,MATH, 181,A,Calculus/Analytic Geometry II,24,12,0,MA,E,1.00,__T____,10.00- 10.50,TH-391,LEC,2015 Fall,FUL,
10603,MATH, 181,A,Calculus/Analytic Geometry II,24,12,0,MA,E,1.00,____T__,09.30- 10.50,TH-391,LEC,2015 Fall,FUL,
10604,MATH, 181,B,Calculus/Analytic Geometry II,20,17,0,MA,E,1.00,_M_W_F_,09.00- 09.50,TH-197,LEC,2015 Fall,FUL,Y
10604,MATH, 181,B,Calculus/Analytic Geometry II,20,17,0,MA,E,1.00,____T__,09.30- 10.50,TH-197,LEC,2015 Fall,FUL,Y
10605,MATH, 181,C,Calculus/Analytic Geometry II,24,14,0,MA,E,1.00,_M___F_,12.00- 12.50,TH-297,LEC,2015 Fall,FUL,
10605,MATH, 181,C,Calculus/Analytic Geometry II,24,14,0,MA,E,1.00,__T_T__,12.30- 13.50,TH-297,LEC,2015 Fall,FUL,
10606,MATH, 181,D,Calculus/Analytic Geometry II,24,0,0,MA,E,1.00,_______,-,,LEC,2015 Fall,FUL,
8271,MATH, 260,A,Intermediate Applied Stats,24,26,0,MA,E,1.00,_MT_TF_,08.00- 08.50,TH-391,LEC,2015 Fall,FUL,
11038,MATH, 260,B,Intermediate Applied Stats,24,24,0,MA,E,1.00,_MT__F_,10.00- 10.50,TH-374,LEC,2015 Fall,FUL,
11038,MATH, 260,B,Intermediate Applied Stats,24,24,0,MA,E,1.00,____T__,09.30- 10.50,TH-374,LEC,2015 Fall,FUL,
8272,MATH, 280,A,Multivariate Calculus,24,24,0,MA,E,1.00,_M___F_,10.00- 10.50,TH-171,LEC,2015 Fall,FUL,
8272,MATH, 280,A,Multivariate Calculus,24,24,0,MA,E,1.00,__T_T__,10.00- 10.50,TH-383,LEC,2015 Fall,FUL,
8273,MATH, 280,B,Multivariate Calculus,24,24,0,MA,E,1.00,_M___F_,11.00- 11.50,TH-171,LEC,2015 Fall,FUL,
8273,MATH, 280,B,Multivariate Calculus,24,24,0,MA,E,1.00,__T_T__,11.00- 11.50,TH-383,LEC,2015 Fall,FUL,
8274,MATH, 290,A,Linear Algebra,24,8,0,MA,E,1.00,_M_W_F_,11.00- 11.50,TH-191,LEC,2015 Fall,FUL,
8274,MATH, 290,A,Linear Algebra,24,8,0,MA,E,1.00,__T____,11.30- 12.20,TH-191,LEC,2015 Fall,FUL,
8275,MATH, 290,B,Linear Algebra,24,22,0,MA,E,1.00,_M_W_F_,12.00- 12.50,TH-374,LEC,2015 Fall,FUL,
8275,MATH, 290,B,Linear Algebra,24,22,0,MA,E,1.00,____T__,12.30- 13.50,TH-374,LEC,2015 Fall,FUL,
8275,MATH, 290,B,Linear Algebra,24,22,0,MA,E,1.00,____T__,12.30- 13.50,TH-191,LEC,2015 Fall,FUL,
8321,MUS, 101,A,Aural Skills I,14,14,0,,E,0.50,_M_W_F_,08.00- 08.50,MU-106,LEC,2015 Fall,FUL,
8321,MUS, 101,A,Aural Skills I,14,14,0,,E,0.50,_M_W_F_,08.00- 08.50,MU-106,LEC,2015 Fall,FUL,
8683,MUS, 101,B,Aural Skills I,14,10,0,,E,0.50,_M_W_F_,11.00- 11.50,MU-110,LEC,2015 Fall,FUL,
8683,MUS, 101,B,Aural Skills I,14,10,0,,E,0.50,_M_W_F_,11.00- 11.50,MU-110,LEC,2015 Fall,FUL,
8548,MUS, 101,BRKA,Aural Skills I,0,0,0,,N,0.00,_______,-,MU-PRACTIC,BRK,2015 Fall,FUL,
8549,MUS, 101,BRKB,Aural Skills I,1,0,0,,N,0.00,_______,-,MU-PRACTIC,BRK,2015 Fall,FUL,
8550,MUS, 101,BRKC,Aural Skills I,1,0,0,,N,0.00,_______,-,MU-PRACTIC,BRK,2015 Fall,FUL,
8551,MUS, 101,BRKD,Aural Skills I,0,0,0,,N,0.00,_______,-,MU-PRACTIC,BRK,2015 Fall,FUL,
10995,MUS, 101,C,Aural Skills I,14,0,0,,E,0.50,_______,-,,LEC,2015 Fall,FUL,
8322,MUS, 101,D,Aural Skills I,14,14,0,,E,0.50,_M_W_F_,13.00- 13.50,MU-106,LEC,2015 Fall,FUL,
8322,MUS, 101,D,Aural Skills I,14,14,0,,E,0.50,_M_W_F_,13.00- 13.50,MU-106,LEC,2015 Fall,FUL,
8323,MUS, 103,A,Music Theory I,30,22,0,,E,0.50,__T_T__,10.00- 10.50,MU-106,LEC,2015 Fall,FUL,Y
8324,MUS, 103,B,Music Theory I,30,17,0,,E,0.50,__T_T__,13.00- 13.50,MU-106,LEC,2015 Fall,FUL,Y
8324,MUS, 103,B,Music Theory I,30,17,0,,E,0.50,__T_T__,13.00- 13.50,MU-106,LEC,2015 Fall,FUL,Y
8552,MUS, 103,BRKA,Music Theory I,0,0,0,,N,0.00,_______,-,MU-PRACTIC,BRK,2015 Fall,FUL,
8553,MUS, 103,BRKB,Music Theory I,0,0,0,,N,0.00,_______,-,MU-PRACTIC,BRK,2015 Fall,FUL,
10994,MUS, 105,A,Music in the United States,35,35,0,AR,E,1.00,__T_T__,14.00- 15.20,MU-106,LEC,2015 Fall,FUL,
11090,MUS, 126,A,History of Rock Music,35,38,1,AR,E,1.00,_M_W_F_,14.00- 14.50,MU-106,LEC,2015 Fall,FUL,
8336,MUS, 201,A,Aural Skills III,14,14,0,,E,0.50,_M_W_F_,09.00- 09.50,MU-106,LEC,2015 Fall,FUL,
8335,MUS, 201,B,Aural Skills III,14,4,0,,E,0.50,_M_W_F_,13.00- 13.50,MU-L6,LEC,2015 Fall,FUL,
8563,MUS, 201,BRKA,Aural Skills III,0,0,0,,N,0.00,_______,-,MU-PRACTIC,BRK,2015 Fall,FUL,
8564,MUS, 201,BRKB,Aural Skills III,0,0,0,,N,0.00,_______,-,MU-PRACTIC,BRK,2015 Fall,FUL,
8337,MUS, 203,A,Music Theory III,30,18,0,,E,0.50,__T_T__,08.30- 09.20,MU-106,LEC,2015 Fall,FUL,
8565,MUS, 203,BRKA,Music Theory III,0,0,0,,N,0.00,_______,-,MU-PRACTIC,BRK,2015 Fall,FUL,
8684,MUS, 205,A,Class Piano I,10,4,0,,E,0.25,_M_W___,15.00- 15.50,MU-215,LEC,2015 Fall,FUL,
8582,MUS, 205,BRKA,Class Piano I,0,0,0,,N,0.00,_______,-,MU-PRACTIC,BRK,2015 Fall,FUL,
8338,MUS, 230,A,Westrn Music Antiquity-Baroque,35,27,0,AR,E,1.00,_M_W_F_,10.00- 10.50,MU-106,LEC,2015 Fall,FUL,
11000,MUS, 235,A,Diction for Singers I,20,12,0,,E,0.50,__T_T__,09.30- 10.50,MU-110,LEC,2015 Fall,FUL,
8154,OT, 101,A,Introduction to Allied Health,16,16,0,,E,0.25,__T____,08.30- 09.20,WEY-218,LEC,2015 Fall,FUL,Y
8154,OT, 101,A,Introduction to Allied Health,16,16,0,,E,0.25,__T____,08.30- 09.20,WEY-218,LEC,2015 Fall,FUL,Y
8465,PG, 101,A,Introduction to US Politics,28,25,0,SL,E,1.00,__T_T__,09.30- 10.50,WY-307,LEC,2015 Fall,FUL,Y
8466,PG, 101,B,Introduction to US Politics,28,26,0,SL,E,1.00,__T_T__,12.30- 13.50,WY-307,LEC,2015 Fall,FUL,
8468,PG, 102,A,Intro to Comparative Politics,28,25,0,SL,E,1.00,__T_T__,12.30- 13.50,WY-101,LEC,2015 Fall,FUL,
8469,PG, 102,B,Intro to Comparative Politics,28,18,0,SL,E,1.00,__T_T__,14.00- 15.20,WY-101,LEC,2015 Fall,FUL,
10625,PG, 102,C,Intro to Comparative Politics,28,16,0,SL,E,1.00,__T_T__,15.30- 16.50,WY-101,LEC,2015 Fall,FUL,
10626,PG, 103,A,Intro International Relations,28,25,0,SL,E,1.00,_M_W_F_,10.00- 10.50,WY-101,LEC,2015 Fall,FUL,
8471,PG, 103,B,Intro International Relations,28,20,0,SL,E,1.00,__T_T__,09.30- 10.50,WEY-401,LEC,2015 Fall,FUL,
10627,PG, 103,C,Intro International Relations,28,16,0,SL,E,1.00,_M_W_F_,11.00- 11.50,WY-101,LEC,2015 Fall,FUL,
8470,PG, 103,D,Intro International Relations,28,19,0,SL,E,1.00,__T_T__,12.30- 13.50,WY-109,LEC,2015 Fall,FUL,
8758,PG, 104,A,Intro to Political Theory,28,24,0,SL,E,1.00,__T_T__,11.00- 12.20,WY-101,LEC,2015 Fall,FUL,Y
10628,PG, 104,B,Intro to Political Theory,28,15,0,SL,E,1.00,_M_W___,16.00- 17.20,WY-206,LEC,2015 Fall,FUL,
8605,PHIL, 101,A,Introduction to Philosophy,28,27,0,HM,E,1.00,_M_W_F_,12.00- 12.50,WY-301,LEC,2015 Fall,FUL,
11128,PHIL, 101,B,Introduction to Philosophy,28,23,0,HM,E,1.00,_M_W_F_,15.00- 15.50,WY-109,LEC,2015 Fall,FUL,
8606,PHIL, 215,A,Ancient Philosophy,28,25,0,HM,E,1.00,__T_T__,14.00- 15.20,TH-391,LEC,2015 Fall,FUL,
10883,PHIL, 224,A,Logic and Language,28,28,0,MA,E,1.00,_M_W_F_,13.00- 13.50,WY-109,LEC,2015 Fall,FUL,
10884,PHIL, 224,AA,Logic and Language,16,14,0,MA,N,0.00,____T__,13.00- 13.50,WY-311,DIS,2015 Fall,FUL,
10885,PHIL, 224,AB,Logic and Language,16,14,0,MA,N,0.00,____T__,17.00- 17.50,WY-304,DIS,2015 Fall,FUL,
8371,PHIL, 228,A,Philosophy of Mind,23,19,0,,E,1.00,__T_T__,09.30- 10.50,WY-204,LEC,2015 Fall,FUL,
8603,PHIL, 229,A,Freedom and the Self,23,4,0,,E,1.00,_M_W_F_,10.00- 10.50,WY-313,LEC,2015 Fall,FUL,
8610,PHIL, 281,A,Moral Philosophy,23,23,0,,E,1.00,_M_W___,14.00- 15.20,WY-206,LEC,2015 Fall,FUL,
8716,PHYS, 109,A,Astronomy,40,39,1,NS,E,1.00,_M_W_F_,11.00- 11.50,TH-391,LEC,2015 Fall,FUL,
8717,PHYS, 109,AA,Astronomy,20,19,1,NS,N,0.00,___W___,13.00- 15.30,TH-153,LAB,2015 Fall,FUL,
8718,PHYS, 109,AB,Astronomy,20,20,0,NS,N,0.00,____T__,13.00- 15.30,TH-153,LAB,2015 Fall,FUL,
8445,PHYS, 111,A,General College Physics,44,50,0,NS,E,1.00,_M_W_F_,09.00- 09.50,TH-175,LEC,2015 Fall,FUL,
8445,PHYS, 111,A,General College Physics,44,50,0,NS,E,1.00,____T__,09.30- 10.20,TH-175,LEC,2015 Fall,FUL,
8446,PHYS, 111,B,General College Physics,42,40,0,NS,E,1.00,_MT_TF_,11.00- 11.50,TH-175,LEC,2015 Fall,FUL,
8447,PHYS, 111,CC,General College Physics,22,20,0,NS,N,0.00,_M_____,13.00- 15.30,HA-135,LAB,2015 Fall,FUL,
8448,PHYS, 111,DD,General College Physics,22,21,0,NS,N,0.00,_M_____,15.30- 18.00,HA-135,LAB,2015 Fall,FUL,
8449,PHYS, 111,EE,General College Physics,22,6,0,NS,N,0.00,__T____,09.30- 11.50,HA-135,LAB,2015 Fall,FUL,
8450,PHYS, 111,FF,General College Physics,22,22,0,NS,N,0.00,__T____,13.00- 15.30,HA-135,LAB,2015 Fall,FUL,
9226,PHYS, 111,GG,General College Physics,22,21,0,NS,N,0.00,__T____,15.30- 18.00,HA-135,LAB,2015 Fall,FUL,
8451,PHYS, 121,A,General University Physics,44,39,0,NS,E,1.00,_MTW_F_,10.00- 10.50,TH-175,LEC,2015 Fall,FUL,Y
8452,PHYS, 121,B,General University Physics,44,29,0,NS,E,1.00,_M___F_,12.00- 12.50,TH-175,LEC,2015 Fall,FUL,Y
8452,PHYS, 121,B,General University Physics,44,29,0,NS,E,1.00,__T_T__,12.30- 13.20,TH-175,LEC,2015 Fall,FUL,Y
8453,PHYS, 121,CC,General University Physics,24,0,0,NS,N,0.00,_______,-,,LAB,2015 Fall,FUL,
8454,PHYS, 121,DD,General University Physics,24,26,0,NS,N,0.00,___W___,13.00- 15.30,HA-135,LAB,2015 Fall,FUL,Y?
8455,PHYS, 121,EE,General University Physics,24,15,0,NS,N,0.00,____T__,13.00- 15.30,HA-135,LAB,2015 Fall,FUL,
8456,PHYS, 121,FF,General University Physics,24,27,0,NS,N,0.00,_____F_,14.00- 16.30,HA-135,LAB,2015 Fall,FUL,
10962,PHYS, 205,A,Physics of Music,16,8,0,NS,E,1.00,_M_W_F_,13.00- 13.50,HA-143,LEC,2015 Fall,FUL,
10963,PHYS, 205,AA,Physics of Music,16,8,0,NS,N,0.00,__T____,12.00- 14.30,TH-157,LAB,2015 Fall,FUL,
8457,PHYS, 221,A,Modern Physics I,24,19,0,NS,E,1.00,_MT_TF_,10.00- 10.50,TH-153,LEC,2015 Fall,FUL,
8458,PHYS, 221,AA,Modern Physics I,8,6,0,NS,N,0.00,___W___,13.00- 15.30,TH-151,LAB,2015 Fall,FUL,
8459,PHYS, 221,AB,Modern Physics I,8,6,0,NS,N,0.00,____T__,13.00- 15.30,TH-151,LAB,2015 Fall,FUL,
11167,PHYS, 221,AC,Modern Physics I,8,7,0,NS,N,0.00,___W___,15.30- 18.00,TH-151,LAB,2015 Fall,FUL,
8178,PSYC, 101,A,Introductory Psychology,30,29,0,,E,1.00,__T_T__,09.30- 10.50,CO-272,LEC,2015 Fall,FUL,
8179,PSYC, 101,B,Introductory Psychology,20,21,0,,E,1.00,_M_W_F_,10.00- 10.50,WEY-218,LEC,2015 Fall,FUL,Y
8587,PSYC, 101,C,Introductory Psychology,30,29,0,,E,1.00,_M_W_F_,11.00- 11.50,WEY-217,LEC,2015 Fall,FUL,
8588,PSYC, 101,D,Introductory Psychology,20,20,0,,E,1.00,__T_T__,12.30- 13.50,WEY-218,LEC,2015 Fall,FUL,Y
10608,PSYC, 220,A,Dev Psych: Prenatal-Childhood,25,31,5,,E,1.00,_M_W_F_,09.00- 09.50,CO-272,LEC,2015 Fall,FUL,
8186,PSYC, 221,A,Dev Psych: Adoles-End of Life,25,32,4,,E,1.00,_M_W_F_,11.00- 11.50,WEY-401,LEC,2015 Fall,FUL,
8589,PSYC, 225,A,Social Psychology,28,31,2,SL,E,1.00,__T_T__,12.30- 13.50,WEY-402,LEC,2015 Fall,FUL,
10975,PSYC, 265,A,Cross-Cultural Psychology,25,24,0,,E,1.00,_M_W___,14.00- 15.20,WY-307,LEC,2015 Fall,FUL,
8751,REL, 201,A,The New Testament,28,16,0,,E,1.00,__T_T__,12.30- 13.50,WY-301,LEC,2015 Fall,FUL,
8301,REL, 202,A,Intro to World Religions,28,26,0,HM,E,1.00,_M_W_F_,11.00- 11.50,WY-307,LEC,2015 Fall,FUL,
8302,REL, 204,A,Religions of the Book,28,28,0,HM,E,1.00,__T_T__,09.30- 10.50,WY-313,LEC,2015 Fall,FUL,Y
8674,REL, 211,A,Islam in America,24,15,0,HM,E,1.00,_M_W___,16.00- 17.20,WY-313,LEC,2015 Fall,FUL,
8675,REL, 212,A,The Religion of Islam,25,10,0,HM,E,1.00,__T_T__,12.30- 13.50,WY-313,LEC,2015 Fall,FUL,
8303,REL, 234,A,Chinese Religious Traditions,28,20,0,HM,E,1.00,_M_W___,14.00- 15.20,TH-391,LEC,2015 Fall,FUL,
11044,REL, 292,A,Basics of Bioethics,20,21,1,,E,1.00,__T_T__,09.30- 10.50,WY-201,LEC,2015 Fall,FUL,
8737,SOAN, 101,A,Intro to Sociology,28,26,0,SL,E,1.00,_M_W_F_,10.00- 10.50,MC-202,LEC,2015 Fall,FUL,
8738,SOAN, 101,B,Intro to Sociology,28,26,0,SL,E,1.00,__T_T__,11.00- 12.20,MC-203,LEC,2015 Fall,FUL,Y
8739,SOAN, 101,C,Intro to Sociology,28,29,0,SL,E,1.00,_M_W_F_,13.00- 13.50,MC-309,LEC,2015 Fall,FUL,
